start,end,duration,amplitude_deg,distance_3d,dir_x,dir_y,dir_z,velocity_deg_s
140584.6613,140717.7145,133.05319999999483,1.7140466896103173,0.029914682224992564,0.029259000505720112,-0.005641573951357899,0.002640406290690178,12.882416128363571
140807.9818,140826.8477,18.86590000000433,1.1894975509632955,0.02076033272276174,-0.002222061157226604,-0.020574569702148396,-0.001655578613281139,63.050135480577254
140908.252,142535.3043,1627.0522999999812,3.183115426767925,0.05554818070435249,-0.0336723327636719,0.04416847229003899,-0.0009593963623050206,1.9563694582945867
153648.7064,154550.7745,902.068100000004,15.105027514011354,0.2628674071950716,-0.016845703125,-0.25823974609375,-0.046127319335936945,16.744886016932963
163852.0651,164419.1016,567.0364999999874,17.471812861076895,0.30375638323211884,0.2225919451032366,0.2014661516462054,0.046175275530133564,30.812501243001613
164565.0485,164749.166,184.11749999999302,1.0464347315850526,0.018264764296644337,0.016112191336495607,0.00857979910714289,-0.0006212506975445953,5.683515861257579
164825.9143,165784.9357,959.0213999999978,3.4477257990088144,0.06017435098298969,0.0190931047712056,-0.056435721261160796,-0.008450753348214657,3.5950457403857956
165849.1792,166118.1782,268.9989999999816,7.271038926241813,0.12682126056058546,-0.1160491943359378,0.0495452880859375,0.012707519531250488,27.029984967387648
166183.6616,167005.8869,822.2253000000201,5.662722247459471,0.09878368384811709,0.0504764556884765,0.084869384765625,0.0027442932128903808,6.887068845314457
167117.276,167181.5363,64.26029999999446,3.801126694043034,0.0663283598656618,-0.0662708282470702,0.0023549397786459,0.0014432271321616064,59.15202222901795
167270.3647,167860.6138,590.2490999999864,10.11093919770898,0.17623206234535496,0.1749530368381079,-0.016259087456597203,-0.01359473334418404,17.12995275674154
168001.3747,168162.2008,160.82610000000568,4.515932094078956,0.07879061380887137,-0.0704074435763892,-0.0344967312282987,0.007792833116319398,28.07959711812197
168242.5218,168393.2403,150.71850000001723,5.668916415109809,0.09888917649044002,-0.0966382707868303,0.020329066685267898,0.005181012834821752,37.612611690729146
168478.6031,168620.3022,141.699099999998,11.498641691940335,0.2003386742593384,0.0431076644302962,0.1952013288225447,-0.013181612089082972,81.1483043430798
168762.3551,168886.4303,124.07520000002114,23.1593784073887,0.40147901913764583,0.0556770093513258,-0.3971523708767362,-0.018853852243134628,186.65598288283843
169011.642,169133.888,122.24600000001374,2.0223397314270364,0.035296315068005846,-0.0313212076822917,-0.016192966037326395,-0.0016123453776043517,16.54319758050823
169316.6531,169780.4216,463.7685000000056,7.267829348720383,0.12675714592484447,0.004556509164663394,0.1244260347806489,0.023764977088341577,15.671244055429154
169979.6627,170583.8123,604.1496000000043,7.028468375586105,0.122585315505371,-0.121793947019777,0.013660457584407606,0.002604984736942817,11.633655597199857
170724.7766,171033.5346,308.75800000000163,10.341639553750332,0.18022150784900512,0.1712637236624054,-0.0544352675929211,-0.013613614169034394,33.49432096901222
171117.3342,171142.366,25.03179999999702,0.8089178496164566,0.014115475500270258,-0.003593808128719997,0.0133706955682662,0.002748761858259563,32.31560853061118
171218.8874,171504.1297,285.2422999999835,9.44234365725538,0.1645954864213808,-0.1264779227120539,0.1038818359375002,0.01742335728236566,33.102887114764975
171583.9082,171851.8646,267.9563999999955,9.233950386749278,0.16098360793984715,0.026729038783482102,-0.1574009486607148,-0.020645141601562167,34.46064504057165
171961.5163,172451.0973,489.5810000000056,6.540043224856634,0.11408259469826419,0.0016566685267856984,0.1127428327287952,0.017353602818080183,13.358449827212572
172537.0956,173075.3592,538.2636000000057,3.085338077884576,0.05384249287861078,0.0534123011997768,0.006580897739955294,-0.0016828264508932378,5.732020664010242
173229.3288,173388.0962,158.76740000001155,3.0613085575697214,0.053426509285881156,0.0357535226004467,0.0396990094866072,-0.00025721958705304804,19.281720035533105
173465.5898,173758.8856,293.2958000000217,5.548677881866693,0.09680812760034728,-0.0938081287202384,0.0230934506370908,0.006208147321428048,18.91836801572434
173843.8355,173927.3081,83.47260000000824,5.080990064865374,0.08864482407773318,0.038130442301432296,0.0799916585286457,-0.002304077148436945,60.87015457605098
174007.1756,174043.3564,36.18080000000191,3.915824867117088,0.06832717353959296,-0.0523516337076822,0.0438613891601563,-0.002021789550781472,108.22936107319025
174134.3565,174159.8751,25.518600000010338,0.8793613540906056,0.015347342639501832,-0.0013356526692708997,-0.015228271484375,0.0013626098632814054,34.45962372897609
174221.0976,174315.7514,94.65380000000005,2.5801873155252664,0.04502816737173142,0.0048680623372395,-0.0446828206380209,0.0026987711588539742,27.259204760139212
174391.9994,174776.9356,384.93619999999646,3.366538506858165,0.05874357252782047,0.0149332682291667,0.056671142578125,-0.004023234049479574,8.745705150251382
174856.4039,174976.9422,120.53829999998561,4.185339983154272,0.07302483239906225,0.0286712646484375,-0.06707636515299481,0.00336837768554743,34.722075748162794
175039.807,175537.238,497.4310000000114,9.645077544137715,0.16812071286838534,-0.1591974894205732,0.053335825602213595,-0.008719126383463394,19.389779776768023
175611.3751,175834.0808,222.70569999999134,20.29046871018972,0.35205823536158043,0.2307001749674485,-0.2655054728190104,-0.01514180501302087,91.10888814336818
175899.6215,176687.0858,787.4642999999924,6.914786686287739,0.12054781990485772,-0.009408950805664201,0.1189250946044922,0.01732254028320268,8.781079582004931
176782.122,176898.3353,116.21330000000307,5.368351846860917,0.09365836948240534,-0.0896587371826173,0.0261669158935547,0.0069637298583985485,46.19395410732485
176979.8005,177015.5968,35.79629999998724,3.0534620682863065,0.053284469458527814,-0.0519383748372395,0.011900583902994796,-0.0001265207926434142,85.30105257491402
