start,end,max_mahal_sq
142038.8948,142038.8948,32.923573344729576
153658.9778,153690.1905,154.52701500287552
154002.2964,154055.3733,68.33906024455588
163863.5523,163886.4689,254.50836312166092
164575.2338,164575.2338,22.04347319427466
164914.1873,164926.2626,66.2212564465247
165168.5071,165179.3793,28.357932196771877
165890.4468,165890.4468,25.52217034408087
166515.7832,166515.7832,24.71375274665337
166574.9789,166649.1969,206.56506071275862
167318.9066,167318.9066,27.60606378333865
167817.0522,167817.0522,20.46815299848202
168772.2146,168818.4282,209.0290180472234
169329.1981,169343.2552,82.64422496388892
171387.3146,171387.3146,32.063668576735395
171841.3172,171841.3172,97.98155334976626
171985.4992,171985.4992,20.747190418049005
175515.2177,175515.2177,19.774056039137694
175635.9734,175658.6591,74.83778713459
175941.9647,175941.9647,44.03838552723404
175967.8416,175967.8416,20.33379492804675
177365.8728,177365.8728,21.755302212019163
178183.6493,178183.6493,28.776576402395882
179556.2162,179556.2162,26.76353998705355
179835.0423,179850.9468,79.5669572188701
180001.4401,180016.409,226.20674449926128
180490.6444,180490.6444,25.996698931556143
180824.2615,180824.2615,31.4878264963451
186215.885,186215.885,20.556762162003864
186611.1641,186611.1641,26.006631158582458
186967.8731,186967.8731,31.897695718379733
187383.3343,187383.3343,51.622140664866606
189164.5847,189164.5847,100.79180906633366
191273.3034,191273.3034,59.54818121479664
191891.7399,191916.3527,286.00380172057885
193460.8524,193460.8524,105.16077529351611
193680.9616,193680.9616,19.423066127169346
193989.006,193989.006,26.052047433770767
194546.5234,194585.1951,967.1263930985461
194626.545,194626.545,74.41094898210012
194647.5704,194647.5704,59.339403876512854
194722.5525,194722.5525,24.10882109211631
195247.4561,195247.4561,36.29708915811119
195623.0983,195636.0044,705.9838329598596
195680.9438,195701.4641,27.625304929659894
196225.6457,196225.6457,96.13030514191168
196479.7852,196490.3316,153.88015394005154
196544.9803,196544.9803,29.548191235715706
196716.6258,196737.2422,43.24169694145215
197672.7659,197672.7659,49.01719022493718
197853.6447,197863.3488,1092.099063425637
197927.2664,197936.4739,69.3924043687488
198207.0027,198221.2634,156.16938717724952
198530.4344,198530.4344,37.120137654848804
199278.9633,199319.101,80.3637050928206
199589.7404,199644.6455,7640.798329216912
199690.2049,199704.2331,8640.040865793897
201935.7373,201947.7733,43.11954510582877
202491.5558,202505.119,89.44180950199765
202612.2507,202612.2507,51.53863660748937
203709.7419,203709.7419,28.55739166873073
206137.919,206137.919,18.477441432010718
206287.1489,206287.1489,33.035953365637326
210317.7726,210317.7726,20.00703435764556
210598.1188,210598.1188,48.39912527011335
210914.0551,210914.0551,21.459747040355932
211169.7217,211180.1276,42.43886782564871
211443.1706,211465.2299,31.072208551552862
211661.9829,211661.9829,42.95828836498085
212343.8503,212357.6336,545.634420007613
212723.149,212723.149,18.77449669802449
213412.1365,213441.9255,251.80381142239148
213499.8495,213499.8495,21.313926319022155
213705.991,213705.991,21.07447413726026
215135.9753,215147.9564,54.10165280076139
215174.6037,215174.6037,21.761684936613058
216107.7147,216107.7147,64.00027443877174
217521.6633,217521.6633,27.74538066173609
217931.8275,217942.7895,37.37821489200566
218728.316,218728.316,47.0757619853406
220050.1646,220050.1646,43.33578458920655
220275.9781,220275.9781,19.740989925004715
220667.1137,220667.1137,42.23821282679713
221162.614,221162.614,29.960420502228253
221872.3499,221893.4361,33.28498716107609
222593.3067,222593.3067,86.87728815984111
222683.6871,222707.0192,90.50444104529063
222757.0141,222757.0141,28.023830642306997
222778.6794,222778.6794,36.42007877309901
222848.3713,222848.3713,67.72528546478794
222874.4519,222919.5265,59.03901628737353
223206.812,223206.812,30.268285789119172
223238.4667,223238.4667,19.486109948730324
224115.6564,224115.6564,62.89912212406293
225729.3736,225729.3736,20.707860149163892
226098.7232,226098.7232,32.18254680536786
226134.5539,226134.5539,136.8133604103474
226165.9018,226258.2181,61.233541156909716
226343.5067,226368.8717,41.639221433459156
226538.4755,226589.9287,37.7761410425891
227264.8529,227264.8529,20.297030458536508
227391.9426,227391.9426,22.220233433800452
228025.2504,228048.3047,104.25678238320337
228153.0768,228153.0768,18.901331290814177
228280.387,228280.387,22.707439840275928
228317.9204,228329.2591,137.88471131767508
228421.9457,228433.8674,286.6912771070925
228495.4343,228495.4343,23.118611311552588
228535.5358,228546.8656,22.862025958353268
228646.8479,228646.8479,35.40333104107339
228965.887,229002.5875,227.4559775987023
229246.8636,229258.8568,37.305441355722415
229798.1415,229798.1415,118.70006324957545
231265.5303,231283.7675,58.566645767761266
231615.6824,231615.6824,19.713364439478188
231990.7965,231990.7965,34.43859328049739
233501.8167,233501.8167,42.229086434964906
234597.213,234597.213,37.491096877079286
