start,end,duration,fx,fy,fz,pupil_left,pupil_right
140340.5131,140584.6613,244.148199999996,-0.11415318080357162,-0.05347478957403274,0.992009480794271,3.9578864687965045,4.18089803059896
140717.7145,140807.9818,90.2673000000068,-0.08489418029785156,-0.059116363525390625,0.9946498870849613,3.7559928894042987,4.194210052490235
140826.8477,140908.252,81.40429999999469,-0.08711624145507812,-0.07969093322753906,0.99299430847168,3.7027378082275413,4.202064514160156
142535.3043,153648.7064,11113.402100000007,-0.12078857421875,-0.0355224609375,0.992034912109375,-0.9937485507800818,-0.9935512451463909
154550.7745,163852.0651,9301.290600000008,-0.13763427734375,-0.29376220703125,0.9459075927734379,-0.9860116581369402,-0.9865767187432465
164419.1016,164565.0485,145.94690000000992,0.08495766775948661,-0.09229605538504464,0.9920828683035717,4.356752668108259,4.627925327845984
164749.166,164825.9143,76.74830000000657,0.10106985909598228,-0.08371625627790179,0.991461617606027,3.9513484409877235,4.234172276088171
165784.9357,165849.1792,64.24350000001141,0.1201629638671878,-0.14015197753906258,0.9830108642578125,3.8322662353515637,3.9639862060546904
166118.1782,166183.6616,65.48339999999735,0.00411376953125,-0.090606689453125,0.9957183837890629,3.281237792968752,3.3960205078125
167005.8869,167117.276,111.38910000000033,0.05459022521972656,-0.0057373046875,0.9984626770019532,3.2707347869873047,3.3001880645751975
167181.5363,167270.3647,88.82839999999851,-0.01168060302734375,-0.0033823649088541665,0.9999059041341147,3.2217356363932304,3.3469721476236995
167860.6138,168001.3747,140.76089999999385,0.16327243381076423,-0.019641452365451388,0.9863111707899309,3.1969807942708335,3.082682291666666
168162.2008,168242.5218,80.32099999999627,0.092864990234375,-0.05413818359375,0.9941040039062502,3.098410034179688,3.0867645263671903
168393.2403,168478.6031,85.36280000000261,-0.003773280552455357,-0.033809116908482144,0.999285016741072,3.2166857038225474,3.15769522530692
168620.3022,168762.3551,142.05289999998058,0.03933438387784091,0.1613922119140626,0.986103404651989,3.445717551491477,3.172109430486506
168886.4303,169011.642,125.21169999998529,0.09501139322916678,-0.23576015896267366,0.9672495524088544,2.8299679226345487,3.1275872124565964
169133.888,169316.6531,182.76509999998962,0.063690185546875,-0.251953125,0.96563720703125,-1.0,-1.0
169780.4216,169979.6627,199.24109999998473,0.06824669471153846,-0.12752709021935116,0.9894021841195915,3.6042656531700743,3.4377359243539685
170583.8123,170724.7766,140.96430000002147,-0.05354725230823864,-0.11386663263494352,0.9920071688565344,3.1895751953125027,3.829797918146308
171033.5346,171117.3342,83.79959999999846,0.11771647135416681,-0.16830190022786465,0.9783935546875001,4.051493326822919,3.904978434244793
171142.366,171218.8874,76.52139999999781,0.11412266322544684,-0.1549312046595984,0.9811423165457595,4.067661830357145,4.008427211216518
171504.1297,171583.9082,79.7785000000149,-0.012355259486607142,-0.05104936872209821,0.9985656738281253,4.1417476109096,4.116995675223218
171851.8646,171961.5163,109.65169999998761,0.014373779296875,-0.208450317382813,0.977920532226563,-1.0,-1.0
172451.0973,172537.0956,85.99830000000657,0.016030447823660716,-0.09570748465401786,0.9952741350446433,4.0349557059151815,4.350304739815851
173075.3592,173229.3288,153.96959999998217,0.0694427490234375,-0.0891265869140625,0.99359130859375,-1.0,-1.0
173388.0962,173465.5898,77.49359999998705,0.10519627162388422,-0.049427577427455356,0.993334089006697,4.160753522600449,3.925393240792411
173758.8856,173843.8355,84.94989999997779,0.011388142903645834,-0.026334126790364582,0.999542236328125,3.94964345296224,4.021675109863282
173927.3081,174007.1756,79.86749999999302,0.049518585205078125,0.05365753173828125,0.997238159179688,4.105415344238282,3.7671699523925772
174043.3564,174134.3565,91.00010000000475,-0.0028330485026041665,0.0975189208984375,0.9952163696289066,3.9276529947916665,3.7566782633463567
174159.8751,174221.0976,61.22250000000349,-0.004168701171875,0.0822906494140625,0.9965789794921879,3.8597442626953145,3.7182586669921904
174315.7514,174391.9994,76.24799999999232,0.0006993611653645834,0.037607828776041664,0.9992777506510419,4.000244140625001,3.80382537841797
174776.9356,174856.4039,79.46830000000773,0.01563262939453125,0.09427897135416667,0.9952545166015625,4.029197692871095,3.772104899088541
174976.9422,175039.807,62.86480000001029,0.04430389404296875,0.027202606201171875,0.9986228942871098,3.9896659851074228,3.77105712890625
175537.238,175611.3751,74.13709999999264,-0.1148935953776045,0.08053843180338542,0.9899037679036464,4.207598368326825,3.991864522298179
175834.0808,175899.6215,65.5407000000123,0.115806579589844,-0.184967041015625,0.9747619628906256,4.1162033081054705,3.8508872985839875
176687.0858,176782.122,95.03620000000228,0.10639762878417988,-0.06604194641113281,0.9920845031738282,4.165901184082033,4.134809494018558
176898.3353,176979.8005,81.465200000006,0.0167388916015625,-0.039875030517578125,0.9990482330322268,4.144092559814455,4.265151977539064
177015.5968,177098.236,82.63920000000508,-0.035199483235677086,-0.027974446614583332,0.9989217122395834,4.285013834635419,4.284622192382815
177474.9733,177658.8553,183.88199999998324,0.16198260967548084,-0.06793447641225961,0.9844172551081732,4.196659968449522,4.144954974834738
178297.8127,178424.569,126.75629999997909,0.14162021213107667,-0.050440470377604164,0.9885491265190977,3.982299804687501,3.9334072536892375
179207.4921,179298.8782,91.38610000000335,0.084417724609375,0.033587646484375,0.9959838867187504,3.9898010253906264,3.700003051757816
179850.9468,179989.6451,138.6982999999891,-0.02313232421875,-0.093353271484375,0.995361328125,-1.0,-1.0
180744.6006,180813.8019,69.20129999998608,0.15808105468750033,-0.10920969645182317,0.9814402262369798,4.0286280314127625,4.0135498046875036
